password,game
labor,"('boars', 'blaer', 'algor', 'arbor', 'tabor', 'labor')"
lager,"('relax', 'glaur', 'alder', 'agger', 'eager', 'lager')"
lager,"('gleam', 'glair', 'alter', 'auger', 'rager', 'lager')"
lurid,"('drill', 'riled', 'ursid', 'unrid', 'murid', 'lurid')"
lurid,"('drill', 'riled', 'ursid', 'unrid', 'murid', 'lurid')"
maize,"('aimer', 'image', 'amaze', 'avize', 'baize', 'maize')"
maize,"('aimed', 'aizle', 'amaze', 'avize', 'baize', 'maize')"
manga,"('angas', 'ngana', 'amiga', 'ainga', 'panga', 'manga')"
manga,"('angas', 'ngana', 'amiga', 'ainga', 'fanga', 'manga')"
maple,"('plead', 'plage', 'amble', 'apple', 'caple', 'maple')"
maple,"('almes', 'plane', 'amble', 'apple', 'caple', 'maple')"
naval,"('avant', 'avail', 'annal', 'arval', 'laval', 'naval')"
naval,"('alans', 'avail', 'annal', 'arval', 'kaval', 'naval')"
octal,"('coate', 'atoll', 'comal', 'cital', 'ictal', 'octal')"
octal,"('talcs', 'atoll', 'copal', 'cital', 'ictal', 'octal')"
older,"('lords', 'dolor', 'lower', 'lader', 'alder', 'older')"
older,"('erode', 'dolor', 'loser', 'lader', 'alder', 'older')"
pagan,"('apage', 'again', 'apian', 'argan', 'lagan', 'pagan')"
pagan,"('apage', 'again', 'apian', 'argan', 'lagan', 'pagan')"
parer,"('rears', 'arear', 'armer', 'airer', 'darer', 'parer')"
parer,"('apery', 'arear', 'armer', 'airer', 'carer', 'parer')"
prone,"('opera', 'ronte', 'ronne', 'rhone', 'grone', 'prone')"
prone,"('roper', 'ronte', 'ronne', 'rhone', 'krone', 'prone')"
prose,"('sores', 'soree', 'rouse', 'roose', 'erose', 'prose')"
prose,"('repot', 'soree', 'rouse', 'roose', 'arose', 'prose')"
raise,"('arses', 'aisle', 'arose', 'anise', 'paise', 'raise')"
raise,"('aired', 'siree', 'arose', 'anise', 'paise', 'raise')"
rarer,"('arere', 'arear', 'armer', 'airer', 'farer', 'rarer')"
rarer,"('arere', 'arear', 'armer', 'airer', 'parer', 'rarer')"
rebar,"('arret', 'breer', 'briar', 'embar', 'kebar', 'rebar')"
rebar,"('arere', 'breer', 'briar', 'embar', 'kebar', 'rebar')"
rebus,"('brusk', 'burds', 'erhus', 'embus', 'zebus', 'rebus')"
rebus,"('brust', 'brees', 'erhus', 'embus', 'debus', 'rebus')"
ruder,"('uredo', 'drear', 'drier', 'udder', 'nuder', 'ruder')"
ruder,"('derro', 'drear', 'drier', 'udder', 'nuder', 'ruder')"
salon,"('along', 'losen', 'ascon', 'azlon', 'halon', 'salon')"
salon,"('along', 'losen', 'ascon', 'azlon', 'talon', 'salon')"
saner,"('neral', 'aesir', 'aster', 'awner', 'caner', 'saner')"
saner,"('resay', 'aesir', 'anger', 'awner', 'caner', 'saner')"
sauna,"('unsaw', 'usnea', 'asana', 'abuna', 'fauna', 'sauna')"
sauna,"('unsay', 'usnea', 'asana', 'aguna', 'fauna', 'sauna')"
shave,"('ashen', 'haste', 'halve', 'heave', 'chave', 'shave')"
shave,"('ashed', 'haste', 'halve', 'heave', 'chave', 'shave')"
space,"('pacer', 'paste', 'pance', 'place', 'apace', 'space')"
space,"('paced', 'passe', 'pance', 'peace', 'apace', 'space')"
table,"('abets', 'blaze', 'abele', 'amble', 'fable', 'table')"
table,"('belah', 'blare', 'abele', 'amble', 'cable', 'table')"
utile,"('lutea', 'litre', 'title', 'toile', 'stile', 'utile')"
utile,"('tiled', 'litre', 'title', 'toile', 'stile', 'utile')"
whole,"('howes', 'howbe', 'hoyle', 'haole', 'dhole', 'whole')"
whole,"('owled', 'holme', 'hoyle', 'haole', 'thole', 'whole')"
wrest,"('strep', 'rewet', 'reast', 'reest', 'drest', 'wrest')"
wrest,"('resto', 'rewet', 'reist', 'reest', 'prest', 'wrest')"
